Team,Scorer,Goals
Manchester City,Jack Grealish,1
Manchester City,James Mcatee,3
Manchester City,Jeremy Doku,3
Manchester City,John Stones,2
Manchester City,Joko Gvardiol,5
Manchester City,Kevin De Bruyne,4
Manchester City,Mateo Kova?i?,6
Manchester City,Matheus Nunes,1
Manchester City,Nico OReilly,2
Manchester City,Nicolás González,1
Manchester City,Omar Marmoush,7
Manchester City,Phil Foden,7
Manchester City,Rico Lewis,1
Manchester City,Sávio,1
Manchester City,Vladimír Coufal (OG),1
Manchester Utd,Alejandro Garnacho,6
Manchester Utd,Amad Diallo,8
Manchester Utd,Bruno Fernandes,8
Manchester Utd,Casemiro,1
Manchester Utd,Christian Eriksen,1
Manchester Utd,Harry Maguire,1
Manchester Utd,Joshua Zirkzee,3
Manchester Utd,Lisandro Martínez,2
Manchester Utd,Manuel Ugarte,1
Manchester Utd,Marcus Rashford,4
Manchester Utd,Mason Mount,1
Manchester Utd,Matthijs de Ligt,2
Manchester Utd,Rasmus Højlund,4
Manchester Utd,Sam Morsy (OG),1
Manchester Utd,Victor Bernth Kristiansen (OG),1
Newcastle,Alexander Isak,23
Newcastle,Anthony Gordon,6
Newcastle,Bruno Guimarães,5
Newcastle,Dan Burn,1
Newcastle,Fabian Schär,4
Newcastle,Harvey Barnes,9
Newcastle,Jacob Murphy,8
Newcastle,Joelinton,4
Newcastle,Lewis Miley,1
Newcastle,Marc Guéhi (OG),2
Newcastle,Sandro Tonali,4
Newcastle,William Osula,1
Nott'ham Forest,Anthony Elanga,6
Nott'ham Forest,Callum Hudson-Odoi,5
Nott'ham Forest,Chris Wood,20
Nott'ham Forest,Elliot Anderson,2
Nott'ham Forest,Jota Silva,3
Nott'ham Forest,Lewis Dunk (OG),1
Nott'ham Forest,Morgan Gibbs-White,7
Nott'ham Forest,Murillo,2
Nott'ham Forest,Neco Williams,1
Nott'ham Forest,Nikola Milenkovi?,5
Nott'ham Forest,Ola Aina,2
Nott'ham Forest,Ramón Sosa,1
Nott'ham Forest,Ryan Yates,2
Nott'ham Forest,Taiwo Awoniyi,1
Southampton,Adam Armstrong,2
Southampton,Cameron Archer,2
Southampton,Flynn Downes,1
Southampton,Jack Stephens,1
Southampton,Jan Bednarek,2
Southampton,Joe Aribo,3
Southampton,Kamaldeen Sulemana,1
Southampton,Lesley Ugochukwu,1
Southampton,Manuel Ugarte (OG),1
Southampton,Mateus Fernandes,2
Southampton,Paul Onuachu,4
Southampton,Ross Stewart,1
Southampton,Taylor Harwood-Bellis,1
Southampton,Tyler Dibling,2
Southampton,William Smallbone,1
Southampton,Yukinari Sugawara,1
Tottenham,Alphonse Areola (OG),1
Tottenham,Brennan Johnson,11
Tottenham,Cristian Romero,1
Tottenham,Dan Burn (OG),1
Tottenham,Dejan Kulusevski,7
Tottenham,Djed Spence,1
Tottenham,Dominic Solanke,9
Tottenham,James Maddison,9
Tottenham,Mathys Tel,2
Tottenham,Pape Matar Sarr,3
Tottenham,Pedro Porro,2
Tottenham,Richarlison,4
