Team,Round,Goals_Conceded
Ipswich Town,Matchweek 24,2
Ipswich Town,Matchweek 25,1
Ipswich Town,Matchweek 26,4
Ipswich Town,Matchweek 27,3
Ipswich Town,Matchweek 28,1
Ipswich Town,Matchweek 29,4
Ipswich Town,Matchweek 3,1
Ipswich Town,Matchweek 30,1
Ipswich Town,Matchweek 31,2
Ipswich Town,Matchweek 32,2
Ipswich Town,Matchweek 33,4
Ipswich Town,Matchweek 34,3
Ipswich Town,Matchweek 35,2
Ipswich Town,Matchweek 36,1
Ipswich Town,Matchweek 37,2
Ipswich Town,Matchweek 38,3
Ipswich Town,Matchweek 5,1
Ipswich Town,Matchweek 6,2
Ipswich Town,Matchweek 7,4
Ipswich Town,Matchweek 8,2
Ipswich Town,Matchweek 9,4
Leicester City,Matchweek 1,1
Leicester City,Matchweek 10,1
Leicester City,Matchweek 11,3
Leicester City,Matchweek 12,2
Leicester City,Matchweek 13,4
Leicester City,Matchweek 14,1
Leicester City,Matchweek 15,2
Leicester City,Matchweek 16,4
Leicester City,Matchweek 17,3
Leicester City,Matchweek 18,3
Leicester City,Matchweek 19,2
Leicester City,Matchweek 2,2
Leicester City,Matchweek 20,2
Leicester City,Matchweek 21,2
Leicester City,Matchweek 22,2
Leicester City,Matchweek 23,1
Leicester City,Matchweek 24,4
Leicester City,Matchweek 25,2
Leicester City,Matchweek 26,4
Leicester City,Matchweek 27,2
Leicester City,Matchweek 28,1
Leicester City,Matchweek 29,3
Leicester City,Matchweek 3,2
Leicester City,Matchweek 30,2
Leicester City,Matchweek 31,3
Leicester City,Matchweek 32,2
Leicester City,Matchweek 33,1
Leicester City,Matchweek 34,3
Leicester City,Matchweek 36,2
Leicester City,Matchweek 38,2
Leicester City,Matchweek 4,2
Leicester City,Matchweek 5,1
Leicester City,Matchweek 6,4
Leicester City,Matchweek 8,2
Leicester City,Matchweek 9,3
Liverpool,Matchweek 10,1
Liverpool,Matchweek 12,2
Liverpool,Matchweek 14,3
Liverpool,Matchweek 15,2
Liverpool,Matchweek 16,2
Liverpool,Matchweek 17,3
Liverpool,Matchweek 18,1
Liverpool,Matchweek 20,2
Liverpool,Matchweek 21,1
Liverpool,Matchweek 23,1
Liverpool,Matchweek 25,1
Liverpool,Matchweek 28,1
