,Metric,Correlation,Genre
2,energy,-0.20613669980794488,sleep
3,loudness,-0.40434389528350245,sleep
4,speechiness,-0.04782826624104077,sleep
5,acousticness,0.05844378252094261,sleep
6,instrumentalness,0.33731127750872947,sleep
7,liveness,-0.16540912314662898,sleep
8,valence,-0.27231556413577285,sleep
9,tempo,-0.14166150419463122,sleep
0,duration_ms,0.30741501756772727,hard-rock
1,danceability,-0.13116178481467686,hard-rock
2,energy,-0.18831709938008256,hard-rock
3,loudness,-0.2149206196213923,hard-rock
4,speechiness,-0.10572018799283765,hard-rock
5,acousticness,0.019933769341766404,hard-rock
6,instrumentalness,0.1481110927079944,hard-rock
7,liveness,-0.16595879271209085,hard-rock
8,valence,-0.15586949597047894,hard-rock
9,tempo,-0.023864426897691176,hard-rock
0,duration_ms,-0.04585989920393807,blues
1,danceability,-0.18841263967516345,blues
2,energy,0.02059930120403939,blues
3,loudness,-0.029992666927664658,blues
4,speechiness,0.019271649566984402,blues
5,acousticness,-0.12433404014425395,blues
6,instrumentalness,0.03769586007570911,blues
7,liveness,-0.058332150126562184,blues
8,valence,-0.19665923308888136,blues
9,tempo,0.003162111716271881,blues
0,duration_ms,0.05220613727905356,pagode
1,danceability,-0.08341529534864921,pagode
2,energy,-0.03708222357351915,pagode
3,loudness,-0.05933949451328441,pagode
4,speechiness,-0.0953578595024598,pagode
5,acousticness,0.18031324540161622,pagode
6,instrumentalness,-0.00885902396457788,pagode
7,liveness,0.11214341413902294,pagode
8,valence,-0.05758430185230847,pagode
9,tempo,0.0003755308017794715,pagode
0,duration_ms,-0.23790413059808757,trance
1,danceability,0.03388464781251827,trance
2,energy,-0.07098328513834092,trance
3,loudness,0.07375206136287832,trance
4,speechiness,-0.004873559813032724,trance
5,acousticness,0.10559743403636665,trance
6,instrumentalness,-0.2129045759503971,trance
7,liveness,-0.11256734139181881,trance
8,valence,0.08141174183286506,trance
9,tempo,-0.10516601736367194,trance
0,duration_ms,-0.07498762678835809,german
1,danceability,0.07958151074234199,german
2,energy,0.015516108135325573,german
3,loudness,0.049981730921783075,german
4,speechiness,0.060862194344726166,german
5,acousticness,-0.037257662545196885,german
6,instrumentalness,-0.044778074414272395,german
7,liveness,-0.043710137692603956,german
8,valence,-0.04459909869534989,german
9,tempo,-0.0011625072060345077,german
0,duration_ms,0.049587222789989935,disco
1,danceability,0.022849932199674634,disco
2,energy,-0.22395660108762971,disco
3,loudness,-0.2797410356939378,disco
4,speechiness,-0.13013285335906502,disco
5,acousticness,0.06946988954278133,disco
6,instrumentalness,-0.0035881761178113976,disco
7,liveness,-0.10389981946544906,disco
8,valence,-0.020520282564176137,disco
9,tempo,-0.12580500142209317,disco
0,duration_ms,0.059603314486987954,garage
1,danceability,0.27091554645633087,garage
2,energy,-0.2783886512050197,garage
3,loudness,-0.21825989432893694,garage
4,speechiness,-0.144819254710161,garage
5,acousticness,0.14402643124196698,garage
6,instrumentalness,0.0798773546550214,garage
7,liveness,-0.10490354779263399,garage
8,valence,0.02819956651319674,garage
9,tempo,-0.1480654886930433,garage
0,duration_ms,-0.23114255001839168,sad
1,danceability,0.0990949183278733,sad
2,energy,0.050228669424678386,sad
3,loudness,0.015390566314888282,sad
4,speechiness,0.11538647741547817,sad
5,acousticness,-0.06931479030302644,sad
