food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_grams,Fat_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Sodium_per_100g,Water_per_100g,Calories_100g_494
cornstarch,488,0.03,0.077,0.046,0.012,116.8,0.0,0.3,1.2,0.0,0.093,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.097,0.6,3.8,0.028,16.6,3.8,0.096,0.081,121.535,129.023,0.023251668307201042,90.52649527603606,0.0,0.23251668307201043,0.9300667322880417,0.07208017175232323,8.215589468544367,363.24531285119707
carob flour,13,0.061,0.041,0.088,0.052,5.3,2.9,0.3,2.4,0.0,0.033,0.2,0.0,0.09,0.007,0.0,0.079,0.1,0.038,0.029,0.088,0.0,0.046,0.0,20.9,0.088,0.2,3.2,0.019,4.7,49.6,0.087,0.087,29.18,11.193999999999999,0.5449347864927641,47.346792924781134,25.90673575129534,2.6800071466857247,21.440057173485798,0.2948007861354297,1.7866714311238165,205.01161336430232
buckwheat flour,402,3.7,0.8,1.1,1.1,84.7,3.1,15.1,12.0,0.0,0.033,13.4,0.0,0.5,0.035,0.0,0.2,7.4,0.5,0.7,0.0,0.0,0.4,0.044,49.2,0.6,4.9,301.2,2.4,404.4,692.4,0.04,3.7,169.6,132.033,2.8023297206001536,64.15062900941432,2.3478978740163448,11.436534805692517,9.088636931676172,0.024993751562109475,10.148977907038393,327.5696227458287
pecan pie,503,27.1,4.9,13.6,7.0,63.7,0.0,6.0,0.0,106.1,0.3,23.8,0.046,0.2,0.083,0.061,0.2,1.0,0.6,0.034,0.2,0.0,0.0,0.0,39.0,0.3,1.8,31.7,0.9,114.7,162.3,0.089,1.2,137.891,120.9,22.41521918941274,52.68817204301075,0.0,4.962779156327543,0.0,0.24813895781637718,19.685690653432587,432.3407775020678
apple pie,331,15.6,3.8,6.7,4.2,46.4,0.0,3.0,0.0,0.0,0.3,59.1,0.078,0.2,0.02,0.0,0.1,1.5,0.1,0.009,2.1,0.0,0.0,0.0,8.8,0.02,1.4,8.8,0.2,35.0,98.8,0.077,0.2,77.358,124.4,12.540192926045016,37.29903536977492,0.0,2.4115755627009645,0.0,0.24115755627009644,47.508038585209,271.7041800643087
vanilla wafer pie crust,935,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,15.0,0.4,0.3,0.071,0.081,0.4,3.7,0.5,0.082,0.2,0.059,5.4,0.028,73.9,0.1,2.9,17.6,0.3,137.3,139.0,0.009,0.4,236.2,187.60000000000002,33.95522388059701,47.12153518123667,6.8763326226012795,3.464818763326226,0.10660980810234541,0.4797441364605543,7.995735607675905,507.94243070362467
chocolate pie crust,881,40.8,8.6,26.4,3.7,117.4,47.9,11.1,4.9,0.0,0.9,9.1,0.0,0.6,0.1,0.0,0.5,5.6,0.3,0.049,0.0,0.0,3.3,0.078,58.2,1.4,7.8,72.8,3.3,218.4,340.3,0.033,3.8,240.2,232.1,17.578629900904783,50.58164584230936,20.63765618267988,4.782421370099095,2.1111589831968978,0.38776389487289964,3.9207238259370962,379.6639379577769
apple strudel,195,8.0,1.5,2.3,3.8,29.2,18.3,2.3,1.6,4.3,0.02,30.9,0.011,0.087,0.082,0.009,0.016,0.2,0.2,0.031,1.2,0.0,1.0,0.002,10.7,0.092,0.3,6.4,0.1,23.4,105.8,0.034,0.1,53.359,90.32,8.857395925597874,32.32949512843224,20.26129317980514,2.546501328609389,1.771479185119575,0.02214348981399469,34.21169176262179,219.22054915854739
chocolate snack cake,200,8.0,2.4,4.3,0.9,30.2,18.9,1.8,1.6,0.0,0.2,9.3,0.001,0.051,0.079,0.011,0.013,0.5,0.067,0.068,1.0,0.0,0.5,0.08,58.0,0.2,1.8,18.0,0.2,43.5,88.0,0.006,0.5,102.459,70.0,11.428571428571429,43.142857142857146,26.999999999999996,2.571428571428571,2.2857142857142856,0.2857142857142857,13.285714285714286,285.7142857142857
fruit fried pie,404,20.6,3.1,9.5,6.9,54.5,27.4,3.8,3.3,0.0,0.4,48.1,0.065,0.2,0.046,0.074,0.1,1.8,0.1,0.019,1.7,0.0,2.2,0.035,28.2,0.094,1.6,12.8,0.3,55.0,83.2,0.094,0.3,113.776,158.1,13.029728020240356,34.471853257432,17.33080328905756,2.403542061986085,2.0872865275142316,0.2530044275774826,30.423782416192285,264.76913345983553
pumpkin pie,316,14.4,4.9,5.7,2.8,40.9,0.0,7.0,0.0,65.1,0.3,90.7,0.1,0.1,0.091,0.086,0.3,1.2,0.7,0.077,2.6,0.0,0.0,0.0,145.7,0.1,2.0,29.5,0.3,151.9,288.3,0.058,0.7,212.686,153.3,9.393346379647749,26.679712981082844,0.0,4.5662100456621,0.0,0.19569471624266144,59.165035877364645,209.52380952380952
corn cake,35,0.2,0.019,0.032,0.098,7.5,2.1,0.7,0.2,0.0,0.01,0.4,0.013,0.057,0.084,0.0,0.084,0.5,0.023,0.074,0.0,0.0,0.0,0.0,1.7,0.04,0.1,10.3,0.2,14.1,14.1,0.082,0.2,10.437,11.11,1.8001800180018002,67.50675067506751,18.901890189018903,6.300630063006301,1.8001800180018002,0.09000900090009002,3.6003600360036003,311.4311431143114
sponge snack cake,157,4.8,1.7,2.1,0.8,26.9,15.7,1.5,0.4,17.2,0.2,8.2,0.095,0.091,0.096,0.034,0.022,0.7,0.06,0.0,0.089,0.098,0.3,0.011,10.1,0.06,0.6,3.4,0.1,77.7,29.8,0.029,0.3,44.404,57.7,8.318890814558058,46.620450606585784,27.209705372616984,2.5996533795493932,0.6932409012131715,0.34662045060658575,14.211438474870016,271.75043327556324
danish pastry with nuts,280,16.4,3.8,8.9,2.8,29.7,16.8,4.6,1.3,29.9,0.2,13.3,0.054,0.1,0.091,0.088,0.2,1.5,0.5,0.062,1.1,0.0,0.5,0.018,61.1,0.1,1.2,20.8,0.5,71.5,61.8,0.062,0.6,115.451,82.29999999999998,19.92709599027947,36.08748481166465,20.4131227217497,5.589307411907655,1.5795868772782506,0.2430133657351155,16.16038882138518,346.05103280680447
chocolate cream pie,301,19.2,4.9,11.0,2.4,33.3,0.0,2.6,2.0,5.0,0.1,43.1,0.0,0.002,0.093,0.0,0.1,0.7,0.4,0.023,0.0,0.0,0.0,0.0,35.6,0.078,1.1,20.8,0.2,67.3,125.7,0.016,0.2,93.8,100.30000000000001,19.142572283150546,33.20039880358922,0.0,2.5922233300099697,1.994017946161515,0.09970089730807577,42.97108673978066,315.4536390827517
angel food cake,72,0.2,0.071,0.095,0.1,16.2,0.0,1.7,0.4,0.0,0.2,9.3,0.0,0.095,0.039,0.035,0.1,0.2,0.046,0.058,0.0,0.0,0.0,0.0,39.2,0.058,0.1,3.4,0.012,90.7,26.0,0.095,0.055,57.8,27.999999999999996,0.7142857142857144,57.85714285714286,0.0,6.071428571428572,1.4285714285714288,0.7142857142857144,33.214285714285715,262.14285714285717
lemon meringue pie,362,16.4,4.0,7.1,4.2,49.7,0.0,4.8,0.0,67.3,0.3,55.0,0.011,0.1,0.009,0.043,0.2,1.2,0.3,0.034,4.2,0.0,0.0,0.0,15.2,0.086,1.3,7.6,0.2,53.3,82.6,0.059,0.4,91.632,126.19999999999999,12.995245641838352,39.38193343898575,0.0,3.8034865293185423,0.0,0.2377179080824089,43.581616481774965,289.69889064976235
danish pastry with cinnamon,349,16.7,3.5,10.6,1.6,46.9,0.0,4.8,0.0,27.3,0.3,18.4,0.058,0.3,0.072,0.041,0.2,2.2,0.6,0.049,2.6,0.0,0.0,0.0,37.0,0.079,1.8,14.1,0.4,73.9,95.9,0.028,0.5,109.897,87.1,19.173363949483353,53.84615384615385,0.0,5.510907003444317,0.0,0.34443168771526983,21.125143513203216,409.98851894374286
cinnamon coffeecake,238,13.3,3.3,7.4,1.8,26.6,0.0,3.9,1.1,18.2,0.2,12.5,0.049,0.1,0.02,0.085,0.1,1.0,0.4,0.046,0.2,0.0,0.0,0.0,30.8,0.006,1.1,12.5,0.3,61.6,70.1,0.048,0.5,77.089,57.60000000000001,23.090277777777775,46.18055555555555,0.0,6.770833333333333,1.909722222222222,0.3472222222222222,21.701388888888886,419.6180555555555
cheesecake,257,18.0,7.9,6.9,1.3,20.4,17.4,4.4,0.3,44.0,0.4,36.5,0.1,0.061,0.011,0.03,0.2,0.2,0.5,0.1,0.3,0.078,0.4,0.093,40.8,0.039,0.5,8.8,0.1,74.4,72.0,0.079,0.4,84.8,97.39999999999999,18.480492813141687,20.944558521560573,17.864476386036962,4.517453798767968,0.3080082135523614,0.4106776180698153,37.47433264887064,268.1724845995894
fruitcake,139,3.9,0.5,1.8,1.4,26.5,11.8,1.2,1.6,2.2,0.013,10.9,0.06,0.004,0.063,0.0,0.063,0.3,0.015,0.008,0.2,0.0,0.4,0.032,14.2,0.082,0.9,6.9,0.067,22.4,65.8,0.033,0.1,48.507,55.913000000000004,6.97512206463613,47.395060182783965,21.10421547761701,2.1461914045034245,2.8615885393379,0.023250406882120433,19.49457192423944,260.9411049308747
egg custard,293,12.9,6.1,3.9,1.2,31.0,31.0,14.2,0.0,236.9,0.2,222.4,0.1,0.1,0.025,0.081,0.7,0.3,1.6,0.1,0.0,0.0,0.6,0.097,301.7,0.031,1.0,31.0,0.07,318.7,417.4,0.016,1.5,360.9,311.70000000000005,4.138594802694898,9.945460378569136,9.945460378569136,4.555662495989733,0.0,0.06416426050689765,71.35065768367018,95.25184472248957
mince pie,477,17.8,4.4,7.7,4.7,79.2,46.7,4.3,4.3,0.0,0.4,61.7,0.0,0.2,0.074,0.0,0.2,2.0,0.2,0.1,9.7,0.0,0.2,0.071,36.3,0.2,2.5,23.1,0.4,69.3,335.0,0.099,0.4,154.1,214.40000000000003,8.302238805970148,36.940298507462686,21.781716417910445,2.005597014925373,2.005597014925373,0.18656716417910446,28.777985074626862,230.50373134328356
yellow cake with chocolate frosting,546,25.6,8.3,10.4,6.8,79.7,56.5,4.6,2.2,23.0,0.4,32.2,0.0,0.032,0.0,0.0,0.1,1.2,0.2,0.0,0.0,0.0,6.5,0.089,46.1,0.2,2.9,28.8,0.3,198.7,269.3,0.084,0.6,161.1,201.2,12.723658051689862,39.612326043737575,28.081510934393638,2.286282306163022,1.0934393638170974,0.1988071570576541,16.003976143141156,282.10735586481115
danish pastry with fruit,335,15.9,3.3,10.1,1.6,45.1,0.0,4.8,0.0,18.8,0.3,27.3,0.043,0.3,0.093,0.016,0.2,1.8,0.6,0.005,1.6,0.0,0.0,0.0,21.6,0.059,1.4,14.1,0.2,68.6,110.0,0.052,0.5,90.454,93.39999999999999,17.02355460385439,48.28693790149893,0.0,5.139186295503212,0.0,0.32119914346895073,29.229122055674523,366.91648822269804
white cake with coconut frosting,399,11.5,4.4,4.1,2.4,70.8,64.3,4.9,1.1,1.1,0.3,23.2,0.015,0.1,0.058,0.091,0.2,1.2,0.2,0.026,0.1,0.047,0.1,0.019,100.8,0.031,1.3,13.4,0.3,78.4,110.9,0.093,0.4,190.574,176.1,6.5303804656445195,40.20442930153322,36.51334469051675,2.7825099375354916,0.6246450880181715,0.17035775127768313,13.174332765474162,230.72118114707553
danish pastry with cheese,353,24.6,5.1,15.6,2.4,28.7,0.0,5.8,0.0,20.0,0.3,30.8,0.057,0.3,0.035,0.095,0.2,2.5,0.6,0.082,2.6,0.0,0.0,0.0,70.1,0.004,1.8,15.5,0.4,80.1,116.5,0.015,0.6,133.666,90.19999999999999,27.272727272727277,31.818181818181824,0.0,6.430155210643017,0.0,0.33259423503325947,34.146341463414636,398.4478935698449
graham cracker pie crust,917,45.4,9.1,31.0,3.1,117.7,33.2,9.3,3.5,0.0,0.9,8.0,0.0,0.3,0.1,0.0,0.4,5.9,0.3,0.1,0.0,0.0,3.4,0.058,53.1,0.4,4.8,42.1,2.4,214.1,206.8,0.039,2.3,233.8,218.00000000000003,20.825688073394492,53.990825688073386,15.229357798165136,4.26605504587156,1.605504587155963,0.4128440366972476,3.669724770642201,420.4587155963302
blueberry pie,360,17.5,4.3,7.5,4.5,49.2,0.0,4.0,0.0,0.0,0.3,75.3,0.0,0.2,0.073,0.0,0.2,1.8,0.2,0.015,1.0,0.0,0.0,0.0,10.3,0.081,1.8,11.8,0.4,44.1,73.5,0.059,0.3,83.8,146.3,11.961722488038276,33.62952836637047,0.0,2.734107997265892,0.0,0.20505809979494186,51.46958304853041,253.11004784688996
yellow cake with vanilla frosting,239,9.3,1.5,3.9,3.3,37.6,0.0,2.2,0.2,35.2,0.2,14.1,0.027,0.018,0.064,0.016,0.099,0.3,0.2,0.001,0.0,0.0,0.0,0.0,39.7,0.017,0.7,3.8,0.089,91.5,33.9,0.02,0.2,89.788,63.600000000000016,14.62264150943396,59.1194968553459,0.0,3.459119496855345,0.3144654088050314,0.3144654088050314,22.16981132075471,381.91823899371064
pie crust,121,8.0,2.0,3.5,2.1,10.9,0.045,1.5,0.4,0.0,0.1,2.3,0.0,0.004,0.004,0.0,0.088,0.8,0.048,0.075,0.0,0.0,0.033,0.038,2.3,0.079,0.7,3.2,0.061,15.4,15.4,0.096,0.1,23.8,23.245,34.41600344160034,46.89180468918047,0.1935900193590019,6.4530006453000635,1.7208001720800175,0.43020004302000436,9.894600989460098,523.1232523123251
chocolate cake with chocolate frosting,537,27.7,8.2,10.1,6.4,72.9,55.1,4.8,3.0,30.4,0.5,30.4,0.095,0.0,0.098,0.0,0.061,1.1,0.3,0.0,0.1,0.0,6.0,0.02,41.4,0.3,4.2,42.8,0.5,189.1,372.6,0.084,0.8,154.164,194.40000000000003,14.248971193415635,37.49999999999999,28.34362139917695,2.469135802469135,1.5432098765432096,0.2572016460905349,15.637860082304522,288.1172839506172
cheese coffeecake,258,11.6,4.1,5.4,1.3,33.7,0.0,5.3,0.8,64.6,0.3,24.5,0.082,0.098,0.001,0.049,0.07,0.5,0.3,0.086,0.041,0.0,0.0,0.0,44.8,0.074,0.5,11.4,0.1,76.8,219.6,0.075,0.4,96.831,76.19999999999999,15.223097112860895,44.22572178477691,0.0,6.955380577427822,1.0498687664041997,0.3937007874015749,32.15223097112862,341.73228346456693
vanilla cream pie,350,18.1,5.1,7.6,4.3,41.1,16.0,6.0,0.8,78.1,0.3,59.2,0.1,0.2,0.064,0.086,0.3,1.2,0.5,0.006,0.6,0.076,0.6,0.01,113.4,0.018,1.3,16.4,0.2,131.0,158.8,0.024,0.7,181.4,141.5,12.791519434628976,29.045936395759718,11.307420494699647,4.240282685512367,0.5653710247349824,0.21201413427561835,41.83745583038869,248.26855123674915
pineapple cake,367,13.9,3.4,6.0,3.8,58.1,0.0,4.0,0.9,25.3,0.4,37.1,0.078,0.2,0.069,0.091,0.2,1.4,0.2,0.029,1.4,0.0,0.0,0.0,138.0,0.1,1.7,15.0,0.4,94.3,128.8,0.094,0.4,218.024,114.4,12.15034965034965,50.78671328671328,0.0,3.4965034965034962,0.7867132867132867,0.34965034965034963,32.43006993006993,326.486013986014
peach pie,262,11.7,1.8,5.0,4.4,38.5,19.0,2.2,0.9,0.0,0.3,63.6,0.06,0.025,0.089,0.0,0.082,0.2,0.1,0.047,1.1,0.0,1.1,0.023,9.4,0.082,0.6,7.0,0.2,25.7,146.3,0.025,0.1,64.447,136.20000000000002,8.59030837004405,28.267254038179146,13.950073421439058,1.6152716593245229,0.6607929515418501,0.22026431718061673,46.69603524229075,196.84287812041111
fruit coffeecake,156,5.1,1.2,2.8,0.7,25.8,0.0,2.6,1.3,3.5,0.2,15.9,0.0,0.089,0.042,0.0,0.037,1.3,0.3,0.013,0.4,0.0,0.0,0.0,22.5,0.02,1.2,8.5,0.1,59.0,45.0,0.056,0.3,58.9,50.9,10.019646365422396,50.687622789783894,0.0,5.1080550098231825,2.5540275049115913,0.3929273084479372,31.237721021611005,313.3595284872299
pound cake,116,6.0,3.5,1.8,0.3,14.6,0.0,1.7,0.2,66.3,0.1,7.4,0.09,0.059,0.055,0.088,0.048,0.4,0.1,0.087,0.0,0.0,0.0,0.0,10.5,0.021,0.4,3.3,0.046,41.1,35.7,0.092,0.1,33.47,30.0,20.0,48.666666666666664,0.0,5.666666666666666,0.6666666666666667,0.33333333333333337,24.666666666666668,397.3333333333333
pound cake bread,215,9.6,1.7,2.4,5.2,28.2,10.0,3.9,0.9,0.0,0.2,12.3,0.0,0.041,0.0,0.0,0.028,2.6,0.3,0.08,0.0,0.0,0.8,0.0,25.3,0.077,1.2,10.5,0.1,165.0,115.5,0.02,0.3,69.1,65.1,14.746543778801843,43.31797235023041,15.360983102918588,5.990783410138249,1.3824884792626728,0.30721966205837176,18.894009216589865,329.95391705069125
white cake,264,9.2,2.4,3.9,2.3,42.3,26.3,4.0,0.6,1.5,0.2,17.2,0.043,0.1,0.037,0.07,0.2,1.1,0.1,0.02,0.1,0.0,0.073,0.04,96.2,0.003,1.1,8.9,0.1,68.8,70.3,0.033,0.2,153.59,99.8,9.218436873747494,42.38476953907816,26.35270541082165,4.008016032064128,0.6012024048096193,0.20040080160320645,17.234468937875754,268.5370741482966
coffeecake with chocolate frosting,298,9.7,2.5,5.1,1.3,48.4,0.0,4.5,1.8,62.1,0.3,26.2,0.041,0.006,0.036,0.01,0.024,0.8,0.4,0.051,0.015,0.0,0.0,0.0,34.2,0.056,0.5,13.5,0.2,67.5,70.2,0.034,0.4,99.233,90.89999999999999,10.671067106710671,53.24532453245325,0.0,4.9504950495049505,1.9801980198019806,0.33003300330033003,28.822882288228826,328.82288228822887
popcorn cake,38,0.3,0.074,0.06,0.1,8.0,0.001,1.0,0.3,0.0,0.05,0.5,0.0,0.079,0.068,0.0,0.06,0.6,0.002,0.076,0.0,0.0,0.073,0.005,0.9,0.067,0.2,15.9,0.037,27.7,32.7,0.079,0.4,10.7,10.151000000000002,2.9553738547926307,78.80996946113682,0.009851246182642102,9.851246182642102,2.9553738547926307,0.4925623091321052,4.925623091321051,381.2432272682493
banana cream pie,3190,161.3,44.6,67.8,39.0,390.2,143.0,52.2,8.3,604.9,2.8,568.1,0.7,1.6,0.3,0.006,2.5,12.5,4.6,1.6,19.0,0.009,4.7,0.069,889.5,0.6,12.3,189.8,1.8,1091.1,1956.9,0.1,5.7,1533.5,1325.9,12.165321668300777,29.42906704879704,10.785127083490458,3.936948487819594,0.6259898936571385,0.2111773135228901,42.8463685044121,242.95195716117354
baked apple pie mcdonalds,91,4.4,1.1,2.6,0.3,12.3,4.9,0.9,0.6,0.0,0.076,10.5,0.0,0.093,0.053,0.0,0.045,0.7,0.036,0.027,9.1,0.0,0.5,0.0,5.4,0.03,0.6,2.0,0.071,10.2,17.8,0.0,0.0,33.3,33.676,13.065684760660412,36.52452785366433,14.550421665280913,2.6725264283169023,1.7816842855446011,0.22568000950231618,31.179474997030525,274.37937997386865
sponge cake,187,2.7,0.8,1.0,0.4,36.4,0.0,4.6,0.0,107.1,0.1,18.5,0.071,0.1,0.076,0.056,0.2,0.8,0.3,0.07,0.0,0.0,0.0,0.0,26.5,0.076,1.0,5.7,0.1,63.0,88.8,0.034,0.4,71.264,62.300000000000004,4.333868378812198,58.42696629213483,0.0,7.383627608346709,0.0,0.16051364365971107,29.695024077046543,302.24719101123594
yellow cake,245,9.9,2.7,4.2,2.4,36.0,0.0,3.6,0.5,36.7,0.2,17.1,0.094,0.1,0.086,0.016,0.2,1.0,0.2,0.038,0.1,0.0,0.0,0.0,99.3,0.099,1.1,8.2,0.1,79.6,61.9,0.037,0.3,150.51,67.30000000000001,14.710252600297174,53.49182763744427,0.0,5.349182763744427,0.7429420505200593,0.2971768202080238,25.40861812778603,367.75631500742935
shortcake,98,4.0,1.1,1.7,1.0,13.7,0.0,1.7,0.0,0.8,0.1,8.0,0.005,0.058,0.027,0.099,0.039,0.7,0.005,0.055,0.07,0.0,0.0,0.0,58.0,0.076,0.7,4.5,0.08,40.5,30.0,0.097,0.1,78.182,27.5,14.545454545454545,49.81818181818182,0.0,6.181818181818182,0.0,0.36363636363636365,29.09090909090909,354.90909090909093
cherry pie,486,22.0,5.4,9.6,5.8,69.3,0.0,5.0,0.0,0.0,0.3,82.4,0.027,0.3,0.081,0.0,0.2,2.3,0.2,0.016,1.8,0.0,0.0,0.0,18.0,0.1,3.3,16.2,0.4,54.0,138.6,0.011,0.4,119.444,179.0,12.290502793296088,38.71508379888268,0.0,2.793296089385475,0.0,0.16759776536312848,46.03351955307263,276.6480446927374
dutch apple pie,397,15.8,3.2,7.9,2.9,61.0,30.2,3.0,2.2,0.0,0.3,56.3,0.008,0.3,0.033,0.0,0.07,1.5,0.1,0.0,7.8,0.0,1.3,0.071,19.2,0.2,1.2,11.0,0.3,39.7,104.1,0.038,0.3,110.281,168.8,9.360189573459715,36.137440758293835,17.890995260663505,1.7772511848341233,1.3033175355450237,0.17772511848341233,33.35308056872038,235.90047393364927
chocolate cake,352,14.3,5.2,5.7,2.6,50.7,0.0,5.0,1.5,55.1,0.3,23.2,0.0,0.1,0.012,0.027,0.2,1.1,0.3,0.038,0.2,0.0,0.0,0.0,57.0,0.2,1.5,30.4,0.3,100.7,133.0,0.019,0.7,130.2,95.0,15.05263157894737,53.36842105263159,0.0,5.263157894736842,1.5789473684210527,0.3157894736842105,24.421052631578945,370.00000000000006
marshmallow,64,0.033,0.045,0.035,0.06,16.3,11.5,0.4,0.013,0.0,0.039,3.3,0.0,0.015,0.011,0.0,0.028,0.038,0.014,0.062,0.0,0.0,0.0,0.0,0.6,0.002,0.038,0.4,0.003,1.6,1.0,0.009,0.06,17.445,31.585000000000004,0.10447997467152127,51.60677536805445,36.4096881431059,1.2664239354123792,0.04115877790090232,0.12347633370270697,10.447997467152128,212.433116985911
sugar apple,72,0.2,0.009,0.031,0.095,18.2,0.0,1.6,3.4,0.0,0.045,56.4,0.0,0.0,0.066,0.024,0.0,0.093,0.7,0.2,0.2,28.0,0.0,0.0,0.0,18.5,0.075,0.5,16.2,0.0,24.6,190.2,0.083,23.644,79.845,0.25048531529839063,22.794163692153546,0.0,2.003882522387125,4.2582503600726405,0.056359195942137896,70.63685891414616,101.44655269584821
toffee,67,3.9,2.5,1.1,0.1,7.8,7.6,0.1,0.0,12.5,0.044,0.04,0.033,0.074,0.059,0.021,0.076,0.001,0.098,0.044,0.099,0.079,0.0,0.1,0.097,4.1,0.092,0.094,0.5,0.082,3.8,6.1,0.031,12.023,19.483999999999998,20.016423732293166,40.03284746458633,39.006364196263604,0.5132416341613633,0.0,0.2258263190309998,0.20529665366454528,342.33216998562926
vanilla fudge with nuts,123,3.9,1.1,0.7,1.9,21.1,20.1,0.8,0.3,3.7,0.075,2.3,0.064,0.079,0.012,0.018,0.077,0.042,0.046,0.041,0.074,0.0,0.087,0.056,13.3,0.012,0.1,6.8,0.1,20.7,29.1,0.016,0.2,39.577,48.574999999999996,8.028821410190428,43.437982501286676,41.379310344827594,1.6469377251672672,0.6176016469377252,0.1544004117344313,4.734945959855893,252.59907359752964
peanuts chocolate coated,21,1.3,0.6,0.5,0.2,2.0,1.5,0.5,0.2,0.4,0.063,0.008,0.09,0.023,0.014,0.019,0.078,0.2,0.027,0.026,0.0,0.0,0.001,0.054,4.2,0.067,0.037,3.8,0.042,8.5,20.1,0.005,0.1,8.305,5.571,23.33512834320589,35.90019745108598,26.925148088314486,8.975049362771495,3.5900197451085982,1.1308562197092085,0.14360078980434393,389.51714234428295
caramel with nuts chocolate coated,66,2.9,0.7,1.3,0.8,8.5,5.8,1.3,0.6,0.0,0.041,0.9,0.028,0.067,0.066,0.0,0.004,0.7,0.0,0.05,0.2,0.0,0.2,0.024,10.9,0.05,0.2,11.3,0.0,23.2,62.3,0.094,0.3,24.683,20.041,14.470335811586246,42.41305324085624,28.94067162317249,6.486702260366249,2.9938625817074995,0.2045806097500125,4.49079387256125,325.8320443091662
gingerbread,263,12.1,3.1,5.3,3.1,36.4,0.0,2.9,0.0,23.7,0.2,20.7,0.036,0.1,0.088,0.027,0.1,1.3,0.3,0.1,0.082,0.0,0.0,0.0,52.5,0.1,2.1,51.8,0.5,40.0,324.9,0.082,0.3,106.123,72.3,16.735822959889347,50.345781466113415,0.0,4.011065006915629,0.0,0.2766251728907331,28.63070539419087,368.04979253112026
rolo nestle,24,1.0,0.6,3.4,2.9,0.2,0.078,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234,1.287,77.70007770007771,15.540015540015542,6.0606060606060606,0.6993006993006993,0.0,0.0,0.0,764.2579642579643
vanilla fudge,108,1.5,1.0,0.4,0.084,23.2,22.6,0.3,0.0,4.2,0.04,3.1,0.063,0.013,0.056,0.076,0.012,0.093,0.015,0.095,0.0,0.0,0.067,0.026,10.8,0.036,0.036,0.8,0.045,8.5,13.9,0.004,0.089,35.944,50.739999999999995,2.9562475364603866,45.72329523058731,44.54079621600316,0.5912495072920773,0.0,0.07883326763894365,6.109578242018133,211.86440677966104
halavah,328,15.1,2.9,5.7,5.9,42.3,0.0,8.7,3.2,0.0,0.1,2.6,0.0,0.3,0.016,0.0,0.036,2.0,0.1,0.2,0.097,0.0,0.0,0.0,23.1,0.8,3.2,152.6,0.6,424.9,130.9,0.036,3.0,95.618,71.99999999999999,20.972222222222225,58.75,0.0,12.083333333333336,4.4444444444444455,0.13888888888888892,3.611111111111112,472.08333333333337
praline,189,10.1,0.9,5.7,3.0,23.2,21.8,1.3,1.4,0.0,0.016,4.0,0.0,0.066,0.096,0.0,0.071,0.2,0.1,0.021,0.1,0.0,0.2,0.033,16.8,0.2,0.5,19.1,0.7,40.6,84.6,0.021,0.7,53.4,61.81599999999999,16.338811958069112,37.53073637893103,35.26595056296105,2.103015400543549,2.264785815969976,0.0258832664682283,6.470816617057073,305.58431474052037
fruit juice bar,67,0.089,0.0,0.0,0.026,15.6,13.5,0.9,0.8,0.0,0.011,60.3,0.0,0.022,0.032,0.0,0.055,0.1,0.099,0.094,7.3,0.0,0.0,0.092,3.9,0.0,0.1,3.1,0.1,4.6,40.8,0.007,0.068,28.671,91.19999999999999,0.09758771929824561,17.105263157894736,14.80263157894737,0.986842105263158,0.8771929824561405,0.012061403508771931,66.11842105263158,73.24671052631578
peanut brittle,138,5.4,1.2,2.3,1.3,20.2,14.5,2.1,0.7,3.4,0.1,0.2,0.051,0.015,0.046,0.0,0.098,0.7,0.1,0.029,0.0,0.0,0.7,0.06,7.6,0.086,0.3,11.9,0.2,30.0,47.5,0.037,0.2,36.343,43.20000000000001,12.499999999999998,46.759259259259245,33.56481481481481,4.861111111111111,1.62037037037037,0.23148148148148143,0.46296296296296285,318.9814814814814
butterscotch,21,0.2,0.1,0.07,0.076,4.8,4.3,0.079,0.0,0.5,0.039,0.3,0.076,0.008,0.0,0.0,0.087,0.093,0.075,0.0,0.0,0.0,0.059,0.092,0.2,0.062,0.02,0.0,0.076,0.04,0.2,0.011,0.001,5.351,9.718000000000002,2.058036633052068,49.39287919324963,44.24778761061946,0.8129244700555668,0.0,0.40131714344515323,3.0870549495781017,219.3455443506894
