food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_grams,Fat_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Sodium_per_100g,Water_per_100g,Calories_100g_494
red lettuce,4,0.08,0.036,0.056,0.024,0.6,0.1,0.4,0.3,0.0,0.057,26.8,0.0,0.0,0.041,0.007,0.0,0.061,0.097,0.1,0.026,1.0,0.0,0.067,0.021,9.2,0.093,0.3,3.4,0.095,7.8,52.4,0.044,1.595,28.337,0.2823164061121502,2.1173730458411266,0.3528955076401878,1.4115820305607512,1.0586865229205633,0.20115043935490703,94.57599604757033,16.656667960616865
broccoli cooked,98,1.1,0.2,0.1,0.5,20.1,3.9,6.7,9.2,0.0,0.1,249.9,0.0,0.0,0.2,0.3,0.0,0.3,1.5,1.7,0.6,181.7,0.0,4.1,0.4,112.0,0.2,1.9,58.8,0.5,187.6,820.4,0.008,38.3,291.0,0.3780068728522337,6.907216494845361,1.3402061855670102,2.302405498281787,3.161512027491409,0.03436426116838488,85.87628865979381,40.2405498281787
lemongrass citronella,5,0.076,0.067,0.091,0.082,1.2,0.0,0.038,0.0,0.0,0.024,3.4,0.0,0.05,0.011,0.0,0.097,0.018,0.082,0.034,0.1,0.0,0.0,0.0,3.1,0.082,0.4,2.9,0.3,4.8,34.7,0.031,0.1,4.937,4.7379999999999995,1.6040523427606586,25.327142254115664,0.0,0.8020261713803293,0.0,0.5065428450823133,71.76023638666105,118.9531447868299
pumpkin cooked,49,0.2,0.019,0.1,0.085,12.0,5.1,1.8,2.7,0.0,0.006,229.5,0.0,0.0,0.004,0.057,0.0,0.2,1.0,0.5,0.1,11.5,0.0,2.0,0.098,36.8,0.2,1.4,22.1,0.2,73.5,563.5,0.054,17.005,251.30599999999998,0.07958425186824032,4.775055112094419,2.0293984226401283,0.7162582668141628,1.0743874002212443,0.0023875275560472095,91.32292901880577,22.68151178244849
celery cooked,7,0.098,0.064,0.018,0.024,1.5,0.9,0.3,0.6,0.0,0.093,35.3,0.0,0.081,0.021,0.0,0.071,0.1,0.049,0.022,2.3,0.0,0.1,0.061,15.8,0.08,0.2,4.5,0.025,9.4,106.5,0.086,0.098,20.767,38.791,0.2526359207032559,3.8668763372947335,2.32012580237684,0.7733752674589467,1.5467505349178934,0.23974633291227349,91.00048980433606,20.834729705344024
serrano pepper,2,0.075,0.072,0.002,0.028,0.4,0.2,0.1,0.2,0.0,0.067,5.5,0.0,0.0,0.09,0.015,0.0,0.009,0.059,0.095,0.099,2.7,0.0,0.088,0.021,0.7,0.063,0.083,1.3,0.058,2.4,18.6,0.047,0.902,6.542,1.1464383980434119,6.114338122898197,3.0571690614490983,1.5285845307245491,3.0571690614490983,1.024151635585448,84.0721491898502,40.88963619688169
sweet potato leaves cooked,22,0.2,0.099,0.008,0.006,4.7,3.5,1.4,1.2,0.0,0.2,57.1,0.0,0.057,0.016,0.0,0.2,0.6,0.1,0.1,1.0,0.0,0.6,0.012,21.1,0.008,0.4,30.7,0.1,25.6,199.7,0.083,0.2,30.0,68.3,0.29282576866764276,6.881405563689605,5.124450951683748,2.049780380673499,1.7569546120058566,0.29282576866764276,83.60175695461201,38.3601756954612
eggplant cooked,33,0.2,0.049,0.056,0.09,8.1,3.2,0.8,2.5,0.0,0.2,88.8,0.0,0.066,0.086,0.0,0.028,0.6,0.008,0.081,1.3,0.0,0.4,0.021,5.9,0.042,0.2,10.9,0.1,14.9,121.8,0.0,0.1,19.0,103.8,0.19267822736030832,7.803468208092486,3.082851637764933,0.7707129094412333,2.4084778420038537,0.19267822736030832,85.54913294797689,36.03082851637765
asparagus cooked,3,0.074,0.004,0.0,0.063,0.6,0.2,0.4,0.3,0.0,0.0,13.9,0.0,0.0,0.065,0.036,0.0,0.025,0.2,0.036,0.022,1.2,0.0,0.2,0.099,3.5,0.031,0.1,2.1,0.063,8.1,33.6,0.049,1.458,15.474,0.4782215328938865,3.8774718883288095,1.2924906294429366,2.584981258885873,1.9387359441644048,0.0,89.82809874628408,30.15380638490371
rutabaga cooked,72,0.4,0.007,0.037,0.2,16.4,9.5,2.2,4.3,0.0,0.049,219.7,0.0,0.2,0.069,0.0,0.091,1.7,0.4,0.2,45.1,0.0,0.6,0.03,43.2,0.052,0.4,24.0,0.2,98.4,518.4,0.022,0.3,112.0,252.54899999999998,0.15838510546468212,6.493789324051965,3.7616462547862004,0.8711180800557516,1.7026398837453327,0.01940217541942356,86.99301917647665,30.885095565613007
sour pickles,17,0.3,0.079,0.018,0.1,3.5,1.6,0.5,1.9,0.0,1.9,145.8,0.0,0.0,0.013,0.0,0.006,0.0,0.069,0.096,1.6,0.0,0.1,0.038,0.0,0.1,0.6,6.2,0.036,21.7,35.7,0.0,0.079,8.4,155.5,0.19292604501607716,2.2508038585209005,1.0289389067524115,0.3215434083601286,1.2218649517684885,1.2218649517684885,93.7620578778135,12.02572347266881
